Driver,LapNumber,LapTime,Compound,Stint,TyreLife
GAS,1.0,140.954,WET,1.0,5
GAS,2.0,124.663,WET,1.0,6
GAS,3.0,121.401,WET,1.0,7
GAS,4.0,120.133,WET,1.0,8
GAS,5.0,118.285,WET,1.0,9
GAS,6.0,116.787,WET,1.0,10
GAS,7.0,116.14,WET,1.0,11
GAS,8.0,116.916,WET,1.0,12
GAS,9.0,112.755,WET,1.0,13
GAS,10.0,112.699,WET,1.0,14
GAS,11.0,128.01,INTERMEDIATE,2.0,1
GAS,12.0,107.23,INTERMEDIATE,2.0,2
GAS,13.0,124.542,INTERMEDIATE,2.0,3
GAS,14.0,125.219,INTERMEDIATE,2.0,4
GAS,15.0,109.695,INTERMEDIATE,2.0,5
GAS,16.0,109.076,INTERMEDIATE,2.0,6
GAS,17.0,106.555,INTERMEDIATE,2.0,7
GAS,18.0,105.902,INTERMEDIATE,2.0,8
GAS,19.0,107.118,INTERMEDIATE,2.0,9
GAS,20.0,105.469,INTERMEDIATE,2.0,10
GAS,21.0,104.809,INTERMEDIATE,2.0,11
GAS,22.0,104.479,INTERMEDIATE,2.0,12
GAS,23.0,105.781,INTERMEDIATE,2.0,13
GAS,24.0,104.989,INTERMEDIATE,2.0,14
GAS,25.0,105.096,INTERMEDIATE,2.0,15
GAS,26.0,104.854,INTERMEDIATE,2.0,16
GAS,27.0,105.14,INTERMEDIATE,2.0,17
GAS,28.0,105.01,INTERMEDIATE,2.0,18
GAS,29.0,105.524,INTERMEDIATE,2.0,19
GAS,30.0,103.791,INTERMEDIATE,2.0,20
GAS,31.0,103.968,INTERMEDIATE,2.0,21
GAS,32.0,104.279,INTERMEDIATE,2.0,22
GAS,33.0,104.601,INTERMEDIATE,2.0,23
GAS,34.0,122.995,INTERMEDIATE,3.0,1
GAS,35.0,103.508,INTERMEDIATE,3.0,2
GAS,36.0,103.742,INTERMEDIATE,3.0,3
GAS,37.0,102.572,INTERMEDIATE,3.0,4
GAS,38.0,102.676,INTERMEDIATE,3.0,5
GAS,39.0,102.412,INTERMEDIATE,3.0,6
GAS,40.0,103.368,INTERMEDIATE,3.0,7
GAS,41.0,101.16,INTERMEDIATE,3.0,8
GAS,42.0,100.934,INTERMEDIATE,3.0,9
GAS,43.0,102.599,INTERMEDIATE,3.0,10
GAS,44.0,100.866,INTERMEDIATE,3.0,11
GAS,45.0,102.031,INTERMEDIATE,3.0,12
GAS,46.0,102.949,INTERMEDIATE,3.0,13
GAS,47.0,101.911,INTERMEDIATE,3.0,14
GAS,48.0,104.102,INTERMEDIATE,3.0,15
GAS,49.0,100.452,INTERMEDIATE,3.0,16
GAS,50.0,100.57,INTERMEDIATE,3.0,17
GAS,51.0,99.708,INTERMEDIATE,3.0,18
GAS,52.0,100.739,INTERMEDIATE,3.0,19
GAS,53.0,99.586,INTERMEDIATE,3.0,20
GAS,54.0,101.88,INTERMEDIATE,3.0,21
GAS,55.0,100.685,INTERMEDIATE,3.0,22
GAS,56.0,100.63,INTERMEDIATE,3.0,23
GAS,57.0,99.668,INTERMEDIATE,3.0,24
PER,1.0,123.644,WET,1.0,2
PER,2.0,116.79,WET,1.0,3
PER,3.0,115.002,WET,1.0,4
PER,4.0,114.339,WET,1.0,5
PER,5.0,113.215,WET,1.0,6
PER,6.0,113.03,WET,1.0,7
PER,7.0,114.219,WET,1.0,8
PER,8.0,112.989,WET,1.0,9
PER,9.0,113.194,WET,1.0,10
PER,10.0,112.914,WET,1.0,11
PER,11.0,131.088,INTERMEDIATE,2.0,1
PER,12.0,107.38,INTERMEDIATE,2.0,2
PER,13.0,108.306,INTERMEDIATE,2.0,3
PER,14.0,128.386,INTERMEDIATE,2.0,4
PER,15.0,114.009,INTERMEDIATE,2.0,5
PER,16.0,105.323,INTERMEDIATE,2.0,6
PER,17.0,105.211,INTERMEDIATE,2.0,7
PER,18.0,105.37,INTERMEDIATE,2.0,8
PER,19.0,103.377,INTERMEDIATE,2.0,9
PER,20.0,103.531,INTERMEDIATE,2.0,10
PER,21.0,103.267,INTERMEDIATE,2.0,11
PER,22.0,104.075,INTERMEDIATE,2.0,12
PER,23.0,103.681,INTERMEDIATE,2.0,13
PER,24.0,104.516,INTERMEDIATE,2.0,14
PER,25.0,104.928,INTERMEDIATE,2.0,15
PER,26.0,103.872,INTERMEDIATE,2.0,16
PER,27.0,104.04,INTERMEDIATE,2.0,17
PER,28.0,104.276,INTERMEDIATE,2.0,18
