Driver,LapNumber,LapTime,Compound,Stint,TyreLife
GAS,1.0,99.33,HARD,1.0,1
GAS,2.0,92.814,HARD,1.0,2
GAS,3.0,91.533,HARD,1.0,3
GAS,4.0,91.439,HARD,1.0,4
GAS,5.0,91.367,HARD,1.0,5
GAS,6.0,90.786,HARD,1.0,6
GAS,7.0,90.757,HARD,1.0,7
GAS,8.0,91.135,HARD,1.0,8
GAS,9.0,91.365,HARD,1.0,9
GAS,10.0,90.88,HARD,1.0,10
GAS,11.0,90.726,HARD,1.0,11
GAS,12.0,90.547,HARD,1.0,12
GAS,13.0,90.408,HARD,1.0,13
GAS,14.0,90.641,HARD,1.0,14
GAS,15.0,90.686,HARD,1.0,15
GAS,16.0,90.629,HARD,1.0,16
GAS,17.0,90.744,HARD,1.0,17
GAS,18.0,90.725,HARD,1.0,18
GAS,19.0,90.475,HARD,1.0,19
GAS,20.0,89.954,HARD,1.0,20
GAS,21.0,89.652,HARD,1.0,21
GAS,22.0,89.757,HARD,1.0,22
GAS,23.0,89.607,HARD,1.0,23
GAS,24.0,89.646,HARD,1.0,24
GAS,25.0,90.146,HARD,1.0,25
GAS,26.0,89.448,HARD,1.0,26
GAS,27.0,89.606,HARD,1.0,27
GAS,28.0,89.307,HARD,1.0,28
GAS,29.0,89.13,HARD,1.0,29
GAS,30.0,89.177,HARD,1.0,30
GAS,31.0,89.301,HARD,1.0,31
GAS,32.0,89.076,HARD,1.0,32
GAS,33.0,89.165,HARD,1.0,33
GAS,34.0,88.998,HARD,1.0,34
GAS,35.0,92.681,HARD,1.0,35
GAS,36.0,114.65,HARD,1.0,36
GAS,37.0,116.705,MEDIUM,2.0,4
GAS,38.0,89.559,MEDIUM,2.0,5
GAS,39.0,89.017,MEDIUM,2.0,6
GAS,40.0,89.012,MEDIUM,2.0,7
GAS,41.0,88.385,MEDIUM,2.0,8
GAS,42.0,88.454,MEDIUM,2.0,9
GAS,43.0,88.09,MEDIUM,2.0,10
GAS,44.0,88.071,MEDIUM,2.0,11
GAS,45.0,87.87,MEDIUM,2.0,12
GAS,46.0,87.726,MEDIUM,2.0,13
GAS,47.0,87.699,MEDIUM,2.0,14
GAS,48.0,87.567,MEDIUM,2.0,15
