Driver,LapNumber,LapTime,Compound,Stint,TyreLife
VER,1.0,99.019,SOFT,1.0,4
VER,2.0,97.974,SOFT,1.0,5
VER,3.0,98.006,SOFT,1.0,6
VER,4.0,97.976,SOFT,1.0,7
VER,5.0,98.035,SOFT,1.0,8
VER,6.0,97.986,SOFT,1.0,9
VER,7.0,98.021,SOFT,1.0,10
VER,8.0,98.154,SOFT,1.0,11
VER,9.0,98.278,SOFT,1.0,12
VER,10.0,98.369,SOFT,1.0,13
VER,11.0,98.483,SOFT,1.0,14
VER,12.0,98.591,SOFT,1.0,15
VER,13.0,98.482,SOFT,1.0,16
VER,14.0,101.295,SOFT,1.0,17
VER,15.0,118.378,SOFT,2.0,1
VER,16.0,97.801,SOFT,2.0,2
VER,17.0,97.648,SOFT,2.0,3
VER,18.0,97.614,SOFT,2.0,4
VER,19.0,97.712,SOFT,2.0,5
VER,20.0,97.788,SOFT,2.0,6
VER,21.0,97.582,SOFT,2.0,7
VER,22.0,97.651,SOFT,2.0,8
VER,23.0,97.552,SOFT,2.0,9
VER,24.0,97.387,SOFT,2.0,10
VER,25.0,97.372,SOFT,2.0,11
VER,26.0,97.682,SOFT,2.0,12
VER,27.0,97.379,SOFT,2.0,13
VER,28.0,97.651,SOFT,2.0,14
VER,29.0,97.571,SOFT,2.0,15
VER,30.0,97.549,SOFT,2.0,16
VER,31.0,97.431,SOFT,2.0,17
VER,32.0,97.691,SOFT,2.0,18
VER,33.0,97.686,SOFT,2.0,19
VER,34.0,97.839,SOFT,2.0,20
VER,35.0,97.85,SOFT,2.0,21
VER,36.0,100.964,SOFT,2.0,22
VER,37.0,118.49,HARD,3.0,1
VER,38.0,96.297,HARD,3.0,2
VER,39.0,96.446,HARD,3.0,3
VER,40.0,96.942,HARD,3.0,4
VER,41.0,120.495,HARD,3.0,5
VER,42.0,104.824,HARD,3.0,6
VER,43.0,96.89,HARD,3.0,7
VER,44.0,96.236,HARD,3.0,8
VER,45.0,97.015,HARD,3.0,9
VER,46.0,96.701,HARD,3.0,10
VER,47.0,97.009,HARD,3.0,11
VER,48.0,96.918,HARD,3.0,12
VER,49.0,96.962,HARD,3.0,13
VER,50.0,97.25,HARD,3.0,14
VER,51.0,97.427,HARD,3.0,15
VER,52.0,96.919,HARD,3.0,16
VER,53.0,96.89,HARD,3.0,17
VER,54.0,96.678,HARD,3.0,18
VER,55.0,96.322,HARD,3.0,19
VER,56.0,97.205,HARD,3.0,20
VER,57.0,96.373,HARD,3.0,21
GAS,1.0,109.649,SOFT,1.0,1
GAS,2.0,100.438,SOFT,1.0,2
GAS,3.0,100.643,SOFT,1.0,3
GAS,4.0,100.894,SOFT,1.0,4
GAS,5.0,100.818,SOFT,1.0,5
GAS,6.0,101.11,SOFT,1.0,6
GAS,7.0,101.134,SOFT,1.0,7
GAS,8.0,101.173,SOFT,1.0,8
GAS,9.0,104.201,SOFT,1.0,9
GAS,10.0,121.262,HARD,2.0,1
GAS,11.0,98.762,HARD,2.0,2
GAS,12.0,98.928,HARD,2.0,3
GAS,13.0,99.349,HARD,2.0,4
GAS,14.0,98.859,HARD,2.0,5
GAS,15.0,98.985,HARD,2.0,6
GAS,16.0,98.945,HARD,2.0,7
GAS,17.0,99.011,HARD,2.0,8
GAS,18.0,99.029,HARD,2.0,9
GAS,19.0,99.066,HARD,2.0,10
GAS,20.0,99.017,HARD,2.0,11
GAS,21.0,99.327,HARD,2.0,12
GAS,22.0,99.485,HARD,2.0,13
GAS,23.0,99.263,HARD,2.0,14
GAS,24.0,99.761,HARD,2.0,15
GAS,25.0,102.288,HARD,2.0,16
GAS,26.0,119.404,HARD,3.0,1
GAS,27.0,98.729,HARD,3.0,2
GAS,28.0,97.761,HARD,3.0,3
GAS,29.0,98.012,HARD,3.0,4
