Driver,LapNumber,LapTime,Compound,Stint,TyreLife
VER,1.0,87.159,MEDIUM,1.0,1
VER,2.0,84.859,MEDIUM,1.0,2
VER,3.0,83.512,MEDIUM,1.0,3
VER,4.0,83.262,MEDIUM,1.0,4
VER,5.0,83.588,MEDIUM,1.0,5
VER,6.0,83.576,MEDIUM,1.0,6
VER,7.0,83.31,MEDIUM,1.0,7
VER,8.0,83.139,MEDIUM,1.0,8
VER,9.0,83.101,MEDIUM,1.0,9
VER,10.0,83.088,MEDIUM,1.0,10
VER,11.0,83.066,MEDIUM,1.0,11
VER,12.0,83.014,MEDIUM,1.0,12
VER,13.0,83.254,MEDIUM,1.0,13
VER,14.0,83.118,MEDIUM,1.0,14
VER,15.0,83.077,MEDIUM,1.0,15
VER,16.0,83.001,MEDIUM,1.0,16
VER,17.0,82.89,MEDIUM,1.0,17
VER,18.0,82.727,MEDIUM,1.0,18
VER,19.0,82.838,MEDIUM,1.0,19
VER,20.0,82.857,MEDIUM,1.0,20
VER,21.0,82.919,MEDIUM,1.0,21
VER,22.0,82.733,MEDIUM,1.0,22
VER,23.0,82.782,MEDIUM,1.0,23
VER,24.0,82.817,MEDIUM,1.0,24
VER,25.0,82.97,MEDIUM,1.0,25
VER,26.0,82.937,MEDIUM,1.0,26
VER,27.0,83.015,MEDIUM,1.0,27
VER,28.0,83.031,MEDIUM,1.0,28
VER,29.0,82.811,MEDIUM,1.0,29
VER,30.0,82.928,MEDIUM,1.0,30
VER,31.0,82.941,MEDIUM,1.0,31
VER,32.0,82.89,MEDIUM,1.0,32
VER,33.0,82.943,MEDIUM,1.0,33
VER,34.0,82.795,MEDIUM,1.0,34
VER,35.0,82.651,MEDIUM,1.0,35
VER,36.0,82.699,MEDIUM,1.0,36
VER,37.0,87.432,MEDIUM,1.0,37
VER,38.0,102.349,HARD,2.0,1
VER,39.0,81.402,HARD,2.0,2
VER,40.0,81.625,HARD,2.0,3
VER,41.0,81.358,HARD,2.0,4
VER,42.0,81.445,HARD,2.0,5
VER,43.0,81.32,HARD,2.0,6
VER,44.0,81.289,HARD,2.0,7
VER,45.0,81.353,HARD,2.0,8
VER,46.0,81.325,HARD,2.0,9
VER,47.0,81.336,HARD,2.0,10
VER,48.0,81.316,HARD,2.0,11
VER,49.0,81.328,HARD,2.0,12
VER,50.0,81.297,HARD,2.0,13
VER,51.0,81.749,HARD,2.0,14
VER,52.0,81.003,HARD,2.0,15
VER,53.0,81.1,HARD,2.0,16
NOR,1.0,87.43,MEDIUM,1.0,1
NOR,2.0,83.889,MEDIUM,1.0,2
NOR,3.0,83.674,MEDIUM,1.0,3
NOR,4.0,84.819,MEDIUM,1.0,4
NOR,5.0,84.238,MEDIUM,1.0,5
NOR,6.0,83.887,MEDIUM,1.0,6
NOR,7.0,83.538,MEDIUM,1.0,7
NOR,8.0,83.518,MEDIUM,1.0,8
NOR,9.0,83.477,MEDIUM,1.0,9
NOR,10.0,83.416,MEDIUM,1.0,10
NOR,11.0,83.36,MEDIUM,1.0,11
NOR,12.0,83.294,MEDIUM,1.0,12
NOR,13.0,83.293,MEDIUM,1.0,13
NOR,14.0,83.509,MEDIUM,1.0,14
NOR,15.0,83.059,MEDIUM,1.0,15
NOR,16.0,83.089,MEDIUM,1.0,16
NOR,17.0,83.232,MEDIUM,1.0,17
NOR,18.0,83.189,MEDIUM,1.0,18
NOR,19.0,83.289,MEDIUM,1.0,19
NOR,20.0,83.049,MEDIUM,1.0,20
NOR,21.0,82.998,MEDIUM,1.0,21
NOR,22.0,82.965,MEDIUM,1.0,22
NOR,23.0,82.892,MEDIUM,1.0,23
NOR,24.0,82.967,MEDIUM,1.0,24
NOR,25.0,83.082,MEDIUM,1.0,25
NOR,26.0,82.841,MEDIUM,1.0,26
NOR,27.0,82.835,MEDIUM,1.0,27
NOR,28.0,83.072,MEDIUM,1.0,28
NOR,29.0,82.757,MEDIUM,1.0,29
NOR,30.0,82.639,MEDIUM,1.0,30
NOR,31.0,83.189,MEDIUM,1.0,31
NOR,32.0,82.776,MEDIUM,1.0,32
NOR,33.0,82.655,MEDIUM,1.0,33
NOR,34.0,82.554,MEDIUM,1.0,34
NOR,35.0,82.647,MEDIUM,1.0,35
NOR,36.0,82.638,MEDIUM,1.0,36
NOR,37.0,82.48,MEDIUM,1.0,37
NOR,38.0,82.809,MEDIUM,1.0,38
NOR,39.0,82.691,MEDIUM,1.0,39
NOR,40.0,82.621,MEDIUM,1.0,40
NOR,41.0,83.449,MEDIUM,1.0,41
NOR,42.0,82.59,MEDIUM,1.0,42
NOR,43.0,82.904,MEDIUM,1.0,43
NOR,44.0,82.388,MEDIUM,1.0,44
NOR,45.0,82.781,MEDIUM,1.0,45
NOR,46.0,87.287,MEDIUM,1.0,46
NOR,47.0,104.986,SOFT,2.0,3
NOR,48.0,81.038,SOFT,2.0,4
NOR,49.0,81.154,SOFT,2.0,5
NOR,50.0,81.123,SOFT,2.0,6
NOR,51.0,81.315,SOFT,2.0,7
NOR,52.0,81.259,SOFT,2.0,8
NOR,53.0,80.901,SOFT,2.0,9
PIA,1.0,87.992,MEDIUM,1.0,1
PIA,2.0,85.759,MEDIUM,1.0,2
PIA,3.0,85.117,MEDIUM,1.0,3
PIA,4.0,84.567,MEDIUM,1.0,4
PIA,5.0,84.358,MEDIUM,1.0,5
PIA,6.0,83.679,MEDIUM,1.0,6
PIA,7.0,83.738,MEDIUM,1.0,7
PIA,8.0,83.949,MEDIUM,1.0,8
PIA,9.0,83.685,MEDIUM,1.0,9
PIA,10.0,83.461,MEDIUM,1.0,10
PIA,11.0,83.897,MEDIUM,1.0,11
PIA,12.0,83.486,MEDIUM,1.0,12
PIA,13.0,83.598,MEDIUM,1.0,13
PIA,14.0,83.662,MEDIUM,1.0,14
PIA,15.0,83.385,MEDIUM,1.0,15
PIA,16.0,83.137,MEDIUM,1.0,16
PIA,17.0,83.336,MEDIUM,1.0,17
PIA,18.0,83.259,MEDIUM,1.0,18
PIA,19.0,83.359,MEDIUM,1.0,19
PIA,20.0,83.225,MEDIUM,1.0,20
PIA,21.0,82.956,MEDIUM,1.0,21
PIA,22.0,82.883,MEDIUM,1.0,22
PIA,23.0,82.957,MEDIUM,1.0,23
PIA,24.0,82.744,MEDIUM,1.0,24
PIA,25.0,83.27,MEDIUM,1.0,25
PIA,26.0,83.047,MEDIUM,1.0,26
PIA,27.0,82.796,MEDIUM,1.0,27
PIA,28.0,82.845,MEDIUM,1.0,28
PIA,29.0,82.7,MEDIUM,1.0,29
PIA,30.0,82.92,MEDIUM,1.0,30
PIA,31.0,82.816,MEDIUM,1.0,31
PIA,32.0,82.576,MEDIUM,1.0,32
PIA,33.0,83.271,MEDIUM,1.0,33
PIA,34.0,82.669,MEDIUM,1.0,34
PIA,35.0,82.588,MEDIUM,1.0,35
PIA,36.0,82.232,MEDIUM,1.0,36
PIA,37.0,82.425,MEDIUM,1.0,37
PIA,38.0,82.558,MEDIUM,1.0,38
PIA,39.0,82.402,MEDIUM,1.0,39
PIA,40.0,82.296,MEDIUM,1.0,40
PIA,41.0,82.619,MEDIUM,1.0,41
PIA,42.0,82.419,MEDIUM,1.0,42
PIA,43.0,82.369,MEDIUM,1.0,43
PIA,44.0,82.404,MEDIUM,1.0,44
PIA,45.0,86.609,MEDIUM,1.0,45
PIA,46.0,101.402,SOFT,2.0,4
PIA,47.0,81.245,SOFT,2.0,5
PIA,48.0,81.783,SOFT,2.0,6
PIA,49.0,83.484,SOFT,2.0,7
PIA,50.0,81.508,SOFT,2.0,8
PIA,51.0,81.477,SOFT,2.0,9
PIA,52.0,81.386,SOFT,2.0,10
PIA,53.0,81.371,SOFT,2.0,11
LEC,1.0,88.28,MEDIUM,1.0,1
LEC,2.0,85.178,MEDIUM,1.0,2
LEC,3.0,84.965,MEDIUM,1.0,3
LEC,4.0,84.525,MEDIUM,1.0,4
LEC,5.0,84.441,MEDIUM,1.0,5
LEC,6.0,84.858,MEDIUM,1.0,6
LEC,7.0,83.974,MEDIUM,1.0,7
LEC,8.0,84.041,MEDIUM,1.0,8
LEC,9.0,84.052,MEDIUM,1.0,9
LEC,10.0,84.14,MEDIUM,1.0,10
LEC,11.0,84.036,MEDIUM,1.0,11
LEC,12.0,83.893,MEDIUM,1.0,12
LEC,13.0,83.683,MEDIUM,1.0,13
LEC,14.0,83.637,MEDIUM,1.0,14
LEC,15.0,83.635,MEDIUM,1.0,15
LEC,16.0,83.595,MEDIUM,1.0,16
LEC,17.0,83.67,MEDIUM,1.0,17
LEC,18.0,83.449,MEDIUM,1.0,18
LEC,19.0,83.491,MEDIUM,1.0,19
LEC,20.0,83.49,MEDIUM,1.0,20
LEC,21.0,83.494,MEDIUM,1.0,21
LEC,22.0,83.313,MEDIUM,1.0,22
LEC,23.0,83.152,MEDIUM,1.0,23
LEC,24.0,83.263,MEDIUM,1.0,24
LEC,25.0,83.111,MEDIUM,1.0,25
LEC,26.0,83.374,MEDIUM,1.0,26
LEC,27.0,82.98,MEDIUM,1.0,27
LEC,28.0,83.093,MEDIUM,1.0,28
LEC,29.0,82.736,MEDIUM,1.0,29
LEC,30.0,82.972,MEDIUM,1.0,30
LEC,31.0,82.857,MEDIUM,1.0,31
LEC,32.0,82.975,MEDIUM,1.0,32
LEC,33.0,87.019,MEDIUM,1.0,33
LEC,34.0,102.973,HARD,2.0,1
LEC,35.0,82.17,HARD,2.0,2
LEC,36.0,82.361,HARD,2.0,3
LEC,37.0,82.374,HARD,2.0,4
LEC,38.0,82.125,HARD,2.0,5
LEC,39.0,82.431,HARD,2.0,6
LEC,40.0,82.298,HARD,2.0,7
LEC,41.0,82.272,HARD,2.0,8
LEC,42.0,82.035,HARD,2.0,9
LEC,43.0,81.818,HARD,2.0,10
LEC,44.0,81.738,HARD,2.0,11
LEC,45.0,81.673,HARD,2.0,12
LEC,46.0,81.975,HARD,2.0,13
LEC,47.0,81.846,HARD,2.0,14
LEC,48.0,81.586,HARD,2.0,15
LEC,49.0,82.219,HARD,2.0,16
LEC,50.0,81.575,HARD,2.0,17
LEC,51.0,81.901,HARD,2.0,18
LEC,52.0,81.913,HARD,2.0,19
LEC,53.0,81.294,HARD,2.0,20
RUS,1.0,88.907,MEDIUM,1.0,1
RUS,2.0,85.309,MEDIUM,1.0,2
RUS,3.0,85.346,MEDIUM,1.0,3
RUS,4.0,84.513,MEDIUM,1.0,4
RUS,5.0,84.344,MEDIUM,1.0,5
RUS,6.0,84.457,MEDIUM,1.0,6
RUS,7.0,83.94,MEDIUM,1.0,7
RUS,8.0,83.88,MEDIUM,1.0,8
RUS,9.0,84.068,MEDIUM,1.0,9
RUS,10.0,84.347,MEDIUM,1.0,10
RUS,11.0,84.124,MEDIUM,1.0,11
RUS,12.0,83.83,MEDIUM,1.0,12
RUS,13.0,83.569,MEDIUM,1.0,13
RUS,14.0,83.932,MEDIUM,1.0,14
RUS,15.0,83.837,MEDIUM,1.0,15
RUS,16.0,83.876,MEDIUM,1.0,16
RUS,17.0,83.786,MEDIUM,1.0,17
RUS,18.0,83.656,MEDIUM,1.0,18
RUS,19.0,83.756,MEDIUM,1.0,19
RUS,20.0,83.588,MEDIUM,1.0,20
RUS,21.0,83.432,MEDIUM,1.0,21
RUS,22.0,83.479,MEDIUM,1.0,22
RUS,23.0,83.641,MEDIUM,1.0,23
RUS,24.0,83.638,MEDIUM,1.0,24
RUS,25.0,83.765,MEDIUM,1.0,25
RUS,26.0,83.98,MEDIUM,1.0,26
RUS,27.0,87.978,MEDIUM,1.0,27
RUS,28.0,104.163,HARD,2.0,1
RUS,29.0,82.421,HARD,2.0,2
RUS,30.0,82.601,HARD,2.0,3
RUS,31.0,82.659,HARD,2.0,4
RUS,32.0,82.701,HARD,2.0,5
RUS,33.0,82.473,HARD,2.0,6
RUS,34.0,82.49,HARD,2.0,7
RUS,35.0,82.847,HARD,2.0,8
RUS,36.0,82.248,HARD,2.0,9
RUS,37.0,82.562,HARD,2.0,10
RUS,38.0,82.43,HARD,2.0,11
RUS,39.0,82.341,HARD,2.0,12
RUS,40.0,82.112,HARD,2.0,13
RUS,41.0,82.008,HARD,2.0,14
RUS,42.0,81.912,HARD,2.0,15
RUS,43.0,81.984,HARD,2.0,16
RUS,44.0,82.048,HARD,2.0,17
RUS,45.0,81.8,HARD,2.0,18
RUS,46.0,81.922,HARD,2.0,19
RUS,47.0,81.813,HARD,2.0,20
RUS,48.0,82.496,HARD,2.0,21
RUS,49.0,81.965,HARD,2.0,22
RUS,50.0,81.961,HARD,2.0,23
RUS,51.0,82.311,HARD,2.0,24
RUS,52.0,82.072,HARD,2.0,25
RUS,53.0,81.888,HARD,2.0,26
HAM,1.0,90.49,MEDIUM,1.0,1
HAM,2.0,85.502,MEDIUM,1.0,2
HAM,3.0,85.486,MEDIUM,1.0,3
HAM,4.0,84.744,MEDIUM,1.0,4
HAM,5.0,83.942,MEDIUM,1.0,5
HAM,6.0,84.175,MEDIUM,1.0,6
HAM,7.0,84.057,MEDIUM,1.0,7
HAM,8.0,84.646,MEDIUM,1.0,8
HAM,9.0,83.894,MEDIUM,1.0,9
HAM,10.0,83.824,MEDIUM,1.0,10
HAM,11.0,83.876,MEDIUM,1.0,11
HAM,12.0,84.336,MEDIUM,1.0,12
HAM,13.0,84.591,MEDIUM,1.0,13
HAM,14.0,83.879,MEDIUM,1.0,14
HAM,15.0,83.54,MEDIUM,1.0,15
HAM,16.0,83.743,MEDIUM,1.0,16
HAM,17.0,83.689,MEDIUM,1.0,17
HAM,18.0,83.702,MEDIUM,1.0,18
HAM,19.0,83.513,MEDIUM,1.0,19
HAM,20.0,83.408,MEDIUM,1.0,20
HAM,21.0,83.472,MEDIUM,1.0,21
HAM,22.0,83.446,MEDIUM,1.0,22
HAM,23.0,83.406,MEDIUM,1.0,23
HAM,24.0,83.675,MEDIUM,1.0,24
HAM,25.0,83.518,MEDIUM,1.0,25
HAM,26.0,83.961,MEDIUM,1.0,26
HAM,27.0,83.412,MEDIUM,1.0,27
HAM,28.0,83.398,MEDIUM,1.0,28
HAM,29.0,83.044,MEDIUM,1.0,29
HAM,30.0,83.463,MEDIUM,1.0,30
HAM,31.0,83.636,MEDIUM,1.0,31
HAM,32.0,83.208,MEDIUM,1.0,32
HAM,33.0,83.01,MEDIUM,1.0,33
HAM,34.0,83.291,MEDIUM,1.0,34
HAM,35.0,82.992,MEDIUM,1.0,35
HAM,36.0,82.99,MEDIUM,1.0,36
HAM,37.0,82.878,MEDIUM,1.0,37
HAM,38.0,87.181,MEDIUM,1.0,38
HAM,39.0,102.775,HARD,2.0,1
HAM,40.0,82.194,HARD,2.0,2
HAM,41.0,82.308,HARD,2.0,3
HAM,42.0,81.898,HARD,2.0,4
HAM,43.0,81.917,HARD,2.0,5
HAM,44.0,82.037,HARD,2.0,6
HAM,45.0,81.83,HARD,2.0,7
HAM,46.0,81.775,HARD,2.0,8
HAM,47.0,81.657,HARD,2.0,9
HAM,48.0,81.612,HARD,2.0,10
HAM,49.0,81.701,HARD,2.0,11
HAM,50.0,81.546,HARD,2.0,12
HAM,51.0,81.906,HARD,2.0,13
HAM,52.0,81.743,HARD,2.0,14
HAM,53.0,81.857,HARD,2.0,15
ALB,1.0,92.851,HARD,1.0,1
ALB,2.0,85.762,HARD,1.0,2
ALB,3.0,85.238,HARD,1.0,3
ALB,4.0,85.427,HARD,1.0,4
ALB,5.0,84.598,HARD,1.0,5
ALB,6.0,84.743,HARD,1.0,6
ALB,7.0,84.736,HARD,1.0,7
ALB,8.0,84.553,HARD,1.0,8
ALB,9.0,84.647,HARD,1.0,9
ALB,10.0,84.453,HARD,1.0,10
ALB,11.0,84.514,HARD,1.0,11
ALB,12.0,84.559,HARD,1.0,12
ALB,13.0,84.413,HARD,1.0,13
ALB,14.0,84.212,HARD,1.0,14
ALB,15.0,84.431,HARD,1.0,15
ALB,16.0,84.499,HARD,1.0,16
ALB,17.0,84.422,HARD,1.0,17
ALB,18.0,84.738,HARD,1.0,18
ALB,19.0,84.251,HARD,1.0,19
ALB,20.0,84.239,HARD,1.0,20
ALB,21.0,83.815,HARD,1.0,21
ALB,22.0,83.738,HARD,1.0,22
ALB,23.0,83.781,HARD,1.0,23
ALB,24.0,83.867,HARD,1.0,24
ALB,25.0,83.726,HARD,1.0,25
ALB,26.0,83.246,HARD,1.0,26
ALB,27.0,83.723,HARD,1.0,27
ALB,28.0,83.349,HARD,1.0,28
ALB,29.0,83.229,HARD,1.0,29
ALB,30.0,83.129,HARD,1.0,30
ALB,31.0,83.005,HARD,1.0,31
ALB,32.0,83.149,HARD,1.0,32
ALB,33.0,82.995,HARD,1.0,33
ALB,34.0,82.906,HARD,1.0,34
ALB,35.0,82.497,HARD,1.0,35
ALB,36.0,82.609,HARD,1.0,36
ALB,37.0,82.729,HARD,1.0,37
ALB,38.0,82.658,HARD,1.0,38
ALB,39.0,82.673,HARD,1.0,39
ALB,40.0,82.574,HARD,1.0,40
ALB,41.0,86.328,HARD,1.0,41
ALB,42.0,102.767,MEDIUM,2.0,1
ALB,43.0,81.899,MEDIUM,2.0,2
ALB,44.0,82.126,MEDIUM,2.0,3
ALB,45.0,82.034,MEDIUM,2.0,4
ALB,46.0,81.745,MEDIUM,2.0,5
ALB,47.0,81.63,MEDIUM,2.0,6
ALB,48.0,81.96,MEDIUM,2.0,7
ALB,49.0,82.693,MEDIUM,2.0,8
ALB,50.0,81.727,MEDIUM,2.0,9
ALB,51.0,82.053,MEDIUM,2.0,10
ALB,52.0,81.848,MEDIUM,2.0,11
ALB,53.0,81.368,MEDIUM,2.0,12
BOR,1.0,90.149,MEDIUM,1.0,1
BOR,2.0,84.823,MEDIUM,1.0,2
BOR,3.0,85.354,MEDIUM,1.0,3
BOR,4.0,84.744,MEDIUM,1.0,4
BOR,5.0,84.329,MEDIUM,1.0,5
BOR,6.0,84.602,MEDIUM,1.0,6
BOR,7.0,85.041,MEDIUM,1.0,7
BOR,8.0,84.729,MEDIUM,1.0,8
BOR,9.0,84.431,MEDIUM,1.0,9
BOR,10.0,84.517,MEDIUM,1.0,10
BOR,11.0,84.549,MEDIUM,1.0,11
BOR,12.0,84.529,MEDIUM,1.0,12
BOR,13.0,84.638,MEDIUM,1.0,13
BOR,14.0,84.327,MEDIUM,1.0,14
BOR,15.0,84.385,MEDIUM,1.0,15
BOR,16.0,84.127,MEDIUM,1.0,16
BOR,17.0,84.202,MEDIUM,1.0,17
BOR,18.0,84.241,MEDIUM,1.0,18
BOR,19.0,84.232,MEDIUM,1.0,19
BOR,20.0,88.759,MEDIUM,1.0,20
BOR,21.0,106.707,HARD,2.0,1
BOR,22.0,83.917,HARD,2.0,2
BOR,23.0,83.815,HARD,2.0,3
BOR,24.0,83.884,HARD,2.0,4
BOR,25.0,84.07,HARD,2.0,5
BOR,26.0,83.973,HARD,2.0,6
BOR,27.0,83.192,HARD,2.0,7
BOR,28.0,82.981,HARD,2.0,8
BOR,29.0,83.717,HARD,2.0,9
BOR,30.0,83.343,HARD,2.0,10
BOR,31.0,83.008,HARD,2.0,11
BOR,32.0,83.04,HARD,2.0,12
BOR,33.0,83.243,HARD,2.0,13
BOR,34.0,82.819,HARD,2.0,14
BOR,35.0,82.878,HARD,2.0,15
BOR,36.0,82.49,HARD,2.0,16
BOR,37.0,82.815,HARD,2.0,17
BOR,38.0,82.537,HARD,2.0,18
BOR,39.0,82.938,HARD,2.0,19
BOR,40.0,83.675,HARD,2.0,20
BOR,41.0,82.738,HARD,2.0,21
BOR,42.0,83.172,HARD,2.0,22
BOR,43.0,82.825,HARD,2.0,23
BOR,44.0,82.836,HARD,2.0,24
BOR,45.0,82.61,HARD,2.0,25
BOR,46.0,82.418,HARD,2.0,26
BOR,47.0,82.467,HARD,2.0,27
BOR,48.0,82.35,HARD,2.0,28
BOR,49.0,82.414,HARD,2.0,29
BOR,50.0,82.151,HARD,2.0,30
BOR,51.0,82.139,HARD,2.0,31
BOR,52.0,82.619,HARD,2.0,32
BOR,53.0,82.32,HARD,2.0,33
ANT,1.0,91.686,MEDIUM,1.0,1
ANT,2.0,85.453,MEDIUM,1.0,2
ANT,3.0,85.461,MEDIUM,1.0,3
ANT,4.0,84.841,MEDIUM,1.0,4
ANT,5.0,84.65,MEDIUM,1.0,5
ANT,6.0,85.08,MEDIUM,1.0,6
ANT,7.0,84.501,MEDIUM,1.0,7
ANT,8.0,84.398,MEDIUM,1.0,8
ANT,9.0,84.566,MEDIUM,1.0,9
ANT,10.0,84.571,MEDIUM,1.0,10
ANT,11.0,84.51,MEDIUM,1.0,11
